idx;id;sci_name;com_name;class;order
2900;9721;Megaceryle alcyon;Belted Kingfisher;Aves;Coraciiformes
2901;9722;Megaceryle lugubris;Crested Kingfisher;Aves;Coraciiformes
2902;9723;Megaceryle maxima;Giant Kingfisher;Aves;Coraciiformes
2903;9724;Megaceryle torquata;Ringed Kingfisher;Aves;Coraciiformes
2904;9729;Psilopogon haemacephalus;Coppersmith Barbet;Aves;Piciformes
2905;9731;Psilopogon virens;Great Barbet;Aves;Piciformes
2906;9733;Psilopogon zeylanicus;Brown-headed Barbet;Aves;Piciformes
2907;9738;Poodytes carteri;Spinifexbird;Aves;Passeriformes
2908;9739;Poodytes gramineus;Little Grassbird;Aves;Passeriformes
2909;9740;Megalurus palustris;Striated Grassbird;Aves;Passeriformes
2910;9742;Megapodius cumingii;Philippine Megapode;Aves;Galliformes
2911;9751;Megapodius reinwardt;Orange-footed Scrubfowl;Aves;Galliformes
2912;9755;Megapomponia merula;Megapomponia merula;Insecta;Hemiptera
2913;9758;Megaptera novaeangliae;Humpback Whale;Mammalia;Cetacea
2914;9760;Megarynchus pitangua;Boat-billed Flycatcher;Aves;Passeriformes
2915;9762;Megascops asio;Eastern Screech Owl;Aves;Strigiformes
2916;9766;Megascops choliba;Tropical Screech Owl;Aves;Strigiformes
2917;9773;Megascops kennicottii;Western Screech Owl;Aves;Strigiformes
2918;9781;Megascops trichopsis;Whiskered Screech Owl;Aves;Strigiformes
2919;9783;Megascops watsonii;Tawny-bellied Screech Owl;Aves;Strigiformes
2920;9788;Megatibicen dealbatus;Megatibicen dealbatus;Insecta;Hemiptera
2921;9795;Megatibicen resh;Megatibicen resh;Insecta;Hemiptera
2922;9820;Melaenornis edolioides;Northern Black Flycatcher;Aves;Passeriformes
2923;9824;Melaenornis pammelaina;Southern Black Flycatcher;Aves;Passeriformes
2924;9825;Sigelus silens;Fiscal Flycatcher;Aves;Passeriformes
2925;9831;Melanerpes aurifrons;Golden-fronted Woodpecker;Aves;Piciformes
2926;9832;Melanerpes cactorum;White-fronted Woodpecker;Aves;Piciformes
2927;9833;Melanerpes candidus;White Woodpecker;Aves;Piciformes
2928;9834;Melanerpes carolinus;Red-bellied Woodpecker;Aves;Piciformes
2929;9836;Melanerpes chrysogenys;Golden-cheeked Woodpecker;Aves;Piciformes
2930;9837;Melanerpes cruentatus;Yellow-tufted Woodpecker;Aves;Piciformes
