idx;id;sci_name;com_name;class;order
2749;4679;Crithagra mozambica;Yellow-fronted Canary;Aves;Passeriformes
2750;4680;Crithagra reichardi;Reichard's Seedeater;Aves;Passeriformes
2751;4682;Crithagra reichenowi;Reichenow's Seedeater;Aves;Passeriformes
2752;4683;Crithagra rothschildi;Arabian Serin;Aves;Passeriformes
2753;4684;Crithagra rufobrunnea;Principe Seedeater;Aves;Passeriformes
2754;4685;Crithagra scotops;Forest Canary;Aves;Passeriformes
2755;4686;Crithagra striolata;Streaky Seedeater;Aves;Passeriformes
2756;4687;Crithagra sulphurata;Brimstone Canary;Aves;Passeriformes
2757;4688;Crithagra symonsi;Drakensberg Siskin;Aves;Passeriformes
2758;4689;Crithagra totta;Cape Siskin;Aves;Passeriformes
2759;4690;Crithagra tristriata;Brown-rumped Seedeater;Aves;Passeriformes
2760;4692;Crithagra xantholaema;Salvadori's Seedeater;Aves;Passeriformes
2761;4695;Laniellus langbianis;Grey-crowned Crocias;Aves;Passeriformes
2762;4698;Crocuta crocuta;Spotted Hyena;Mammalia;Carnivora
2763;4701;Crossleyia xanthophrys;Madagascar Yellowbrow;Aves;Passeriformes
2764;4703;Crossoptilon auritum;Blue Eared Pheasant;Aves;Galliformes
2765;4704;Crossoptilon crossoptilon;White Eared Pheasant;Aves;Galliformes
2766;4705;Crossoptilon harmani;Tibetan Eared Pheasant;Aves;Galliformes
2767;4706;Crossoptilon mantchuricum;Brown Eared Pheasant;Aves;Galliformes
2768;4724;Crotophaga ani;Smooth-billed Ani;Aves;Cuculiformes
2769;4725;Crotophaga major;Greater Ani;Aves;Cuculiformes
2770;4726;Crotophaga sulcirostris;Groove-billed Ani;Aves;Cuculiformes
2771;4728;Crypsirina cucullata;Hooded Treepie;Aves;Passeriformes
2772;4729;Crypsirina temia;Racket-tailed Treepie;Aves;Passeriformes
2773;4730;Cryptillas victorini;Victorin's Warbler;Aves;Passeriformes
2774;4731;Cryptoleucopteryx plumbea;Plumbeous Hawk;Aves;Accipitriformes
2775;4732;Cryptolybia olivacea;Green Barbet;Aves;Piciformes
2776;4734;Cryptomicroeca flaviventris;Yellow-bellied Flyrobin;Aves;Passeriformes
2777;4735;Cryptopezus nattereri;Speckle-breasted Antpitta;Aves;Passeriformes
2778;4737;Cryptopipo holochlora;Green Manakin;Aves;Passeriformes
2779;4740;Cryptospiza jacksoni;Dusky Crimsonwing;Aves;Passeriformes
2780;4741;Cryptospiza reichenovii;Red-faced Crimsonwing;Aves;Passeriformes
2781;4742;Cryptospiza salvadorii;Abyssinian Crimsonwing;Aves;Passeriformes
2782;4743;Cryptosylvicola randrianasoloi;Cryptic Warbler;Aves;Passeriformes
2783;4746;Cryptotympana atrata;Cryptotympana atrata;Insecta;Hemiptera
2784;4748;Cryptotympana facialis;Cryptotympana facialis;Insecta;Hemiptera
2785;4750;Cryptotympana holsti;Cryptotympana holsti;Insecta;Hemiptera
2786;4753;Cryptotympana takasagona;Cryptotympana takasagona;Insecta;Hemiptera
2787;4756;Crypturellus atrocapillus;Black-capped Tinamou;Aves;Tinamiformes
2788;4757;Crypturellus bartletti;Bartlett's Tinamou;Aves;Tinamiformes
2789;4758;Crypturellus berlepschi;Berlepsch's Tinamou;Aves;Tinamiformes
2790;4759;Crypturellus boucardi;Slaty-breasted Tinamou;Aves;Tinamiformes
2791;4760;Crypturellus brevirostris;Rusty Tinamou;Aves;Tinamiformes
2792;4761;Crypturellus casiquiare;Barred Tinamou;Aves;Tinamiformes
2793;4762;Crypturellus cinereus;Cinereous Tinamou;Aves;Tinamiformes
2794;4763;Crypturellus cinnamomeus;Thicket Tinamou;Aves;Tinamiformes
2795;4764;Crypturellus duidae;Grey-legged Tinamou;Aves;Tinamiformes
2796;4765;Crypturellus erythropus;Red-legged Tinamou;Aves;Tinamiformes
2797;4766;Crypturellus kerriae;Choco Tinamou;Aves;Tinamiformes
2798;4767;Crypturellus noctivagus;Yellow-legged Tinamou;Aves;Tinamiformes
2799;4768;Crypturellus obsoletus;Brown Tinamou;Aves;Tinamiformes
2800;4769;Crypturellus parvirostris;Small-billed Tinamou;Aves;Tinamiformes
2801;4771;Crypturellus soui;Little Tinamou;Aves;Tinamiformes
2802;4772;Crypturellus strigulosus;Brazilian Tinamou;Aves;Tinamiformes
2803;4773;Crypturellus tataupa;Tataupa Tinamou;Aves;Tinamiformes
2804;4774;Crypturellus transfasciatus;Pale-browed Tinamou;Aves;Tinamiformes
2805;4775;Crypturellus undulatus;Undulated Tinamou;Aves;Tinamiformes
2806;4776;Crypturellus variegatus;Variegated Tinamou;Aves;Tinamiformes
2807;4793;Cuculus canorus;Common Cuckoo;Aves;Cuculiformes
2808;4794;Cuculus clamosus;Black Cuckoo;Aves;Cuculiformes
2809;4795;Cuculus crassirostris;Sulawesi Cuckoo;Aves;Cuculiformes
2810;4796;Hierococcyx fugax;Malaysian Hawk-Cuckoo;Aves;Cuculiformes
2811;4797;Cuculus gularis;African Cuckoo;Aves;Cuculiformes
2812;4798;Hierococcyx hyperythrus;Northern Hawk-Cuckoo;Aves;Cuculiformes
2813;4799;Cuculus lepidus;Sunda Cuckoo;Aves;Cuculiformes
2814;4800;Cuculus micropterus;Indian Cuckoo;Aves;Cuculiformes
2815;4801;Hierococcyx nisicolor;Hodgson's Hawk-Cuckoo;Aves;Cuculiformes
2816;4802;Cuculus optatus;Oriental Cuckoo;Aves;Cuculiformes
2817;4803;Hierococcyx pectoralis;Philippine Hawk-Cuckoo;Aves;Cuculiformes
2818;4804;Cuculus poliocephalus;Lesser Cuckoo;Aves;Cuculiformes
2819;4805;Cuculus rochii;Madagascar Cuckoo;Aves;Cuculiformes
2820;4806;Cuculus saturatus;Himalayan Cuckoo;Aves;Cuculiformes
2821;4807;Cuculus solitarius;Red-chested Cuckoo;Aves;Cuculiformes
2822;4808;Hierococcyx bocki;Dark Hawk-Cuckoo;Aves;Cuculiformes
2823;4809;Hierococcyx sparverioides;Large Hawk-Cuckoo;Aves;Cuculiformes
2824;4810;Hierococcyx vagans;Moustached Hawk-Cuckoo;Aves;Cuculiformes
2825;4811;Hierococcyx varius;Common Hawk-Cuckoo;Aves;Cuculiformes
2826;4812;Culicicapa ceylonensis;Grey-headed Canary-flycatcher;Aves;Passeriformes
2827;4813;Culicicapa helianthea;Citrine Canary-flycatcher;Aves;Passeriformes
2828;4815;Culicivora caudacuta;Sharp-tailed Grass Tyrant;Aves;Passeriformes
2829;4819;Curaeus curaeus;Austral Blackbird;Aves;Passeriformes
2830;4821;Curruca balearica;Balearic Warbler;Aves;Passeriformes
2831;4822;Curruca boehmi;Banded Parisoma;Aves;Passeriformes
2832;4823;Curruca buryi;Yemen Warbler;Aves;Passeriformes
2833;4824;Curruca cantillans;Eastern Subalpine Warbler;Aves;Passeriformes
2834;4825;Curruca communis;Common Whitethroat;Aves;Passeriformes
2835;4827;Curruca conspicillata;Spectacled Warbler;Aves;Passeriformes
2836;4829;Curruca crassirostris;Eastern Orphean Warbler;Aves;Passeriformes
2837;4830;Curruca curruca;Lesser Whitethroat;Aves;Passeriformes
2838;4832;Curruca deserti;African Desert Warbler;Aves;Passeriformes
2839;4833;Curruca deserticola;Tristram's Warbler;Aves;Passeriformes
2840;4834;Curruca hortensis;Western Orphean Warbler;Aves;Passeriformes
2841;4836;Curruca iberiae;Western Subalpine Warbler;Aves;Passeriformes
2842;4837;Curruca layardi;Layard's Warbler;Aves;Passeriformes
2843;4838;Curruca leucomelaena;Arabian Warbler;Aves;Passeriformes
2844;4839;Curruca lugens;Brown Parisoma;Aves;Passeriformes
2845;4840;Curruca melanocephala;Sardinian Warbler;Aves;Passeriformes
2846;4841;Curruca melanothorax;Cyprus Warbler;Aves;Passeriformes
2847;4843;Curruca mystacea;Menetries's Warbler;Aves;Passeriformes
2848;4845;Curruca nana;Asian Desert Warbler;Aves;Passeriformes
2849;4847;Curruca nisoria;Barred Warbler;Aves;Passeriformes
2850;4849;Curruca ruppeli;Rüppell's Warbler;Aves;Passeriformes
2851;4851;Curruca sarda;Marmora's Warbler;Aves;Passeriformes
2852;4852;Curruca subalpina;Moltoni's Warbler;Aves;Passeriformes
2853;4853;Curruca subcoerulea;Chestnut-vented Warbler;Aves;Passeriformes
2854;4854;Curruca undata;Dartford Warbler;Aves;Passeriformes
2855;4857;Cursorius cursor;Cream-colored Courser;Aves;Charadriiformes
2856;4858;Cursorius rufus;Burchell's Courser;Aves;Charadriiformes
2857;4860;Cursorius temminckii;Temminck's Courser;Aves;Charadriiformes
2858;4861;Cutia legalleni;Vietnamese Cutia;Aves;Passeriformes
2859;4862;Cutia nipalensis;Himalayan Cutia;Aves;Passeriformes
2860;4863;Cyanerpes caeruleus;Purple Honeycreeper;Aves;Passeriformes
2861;4864;Cyanerpes cyaneus;Red-legged Honeycreeper;Aves;Passeriformes
2862;4865;Cyanerpes lucidus;Shining Honeycreeper;Aves;Passeriformes
2863;4866;Cyanerpes nitidus;Short-billed Honeycreeper;Aves;Passeriformes
2864;4867;Cyanicterus cyanicterus;Blue-backed Tanager;Aves;Passeriformes
2865;4868;Cyanistes caeruleus;Eurasian Blue Tit;Aves;Passeriformes
2866;4869;Cyanistes cyanus;Azure Tit;Aves;Passeriformes
2867;4870;Cyanistes teneriffae;African Blue Tit;Aves;Passeriformes
2868;4871;Cyanochen cyanoptera;Blue-winged Goose;Aves;Anseriformes
2869;4872;Cyanocitta cristata;Blue Jay;Aves;Passeriformes
2870;4873;Cyanocitta stelleri;Steller's Jay;Aves;Passeriformes
2871;4874;Cyanoloxia cyanoides;Blue-black Grosbeak;Aves;Passeriformes
2872;4875;Cyanocompsa parellina;Blue Bunting;Aves;Passeriformes
2873;4876;Cyanocorax affinis;Black-chested Jay;Aves;Passeriformes
2874;4877;Cyanocorax beecheii;Purplish-backed Jay;Aves;Passeriformes
2875;4878;Cyanocorax caeruleus;Azure Jay;Aves;Passeriformes
2876;4879;Cyanocorax cayanus;Cayenne Jay;Aves;Passeriformes
2877;4880;Cyanocorax chrysops;Plush-crested Jay;Aves;Passeriformes
2878;4881;Cyanocorax cristatellus;Curl-crested Jay;Aves;Passeriformes
2879;4882;Cyanocorax cyanomelas;Purplish Jay;Aves;Passeriformes
2880;4883;Cyanocorax cyanopogon;White-naped Jay;Aves;Passeriformes
2881;4884;Cyanocorax dickeyi;Tufted Jay;Aves;Passeriformes
2882;4885;Cyanocorax heilprini;Azure-naped Jay;Aves;Passeriformes
2883;4887;Cyanocorax melanocyaneus;Bushy-crested Jay;Aves;Passeriformes
2884;4888;Cyanocorax morio;Brown Jay;Aves;Passeriformes
2885;4890;Cyanocorax mystacalis;White-tailed Jay;Aves;Passeriformes
2886;4891;Cyanocorax sanblasianus;San Blas Jay;Aves;Passeriformes
2887;4892;Cyanocorax violaceus;Violaceous Jay;Aves;Passeriformes
2888;4893;Cyanocorax yncas;Inca Jay;Aves;Passeriformes
2889;4894;Cyanocorax yucatanicus;Yucatan Jay;Aves;Passeriformes
2890;4896;Cyanoderma bicolor;Grey-hooded Babbler;Aves;Passeriformes
2891;4897;Cyanoderma erythropterum;Chestnut-winged Babbler;Aves;Passeriformes
2892;4898;Cyanoderma chrysaeum;Golden Babbler;Aves;Passeriformes
2893;4899;Cyanoderma melanothorax;Crescent-chested Babbler;Aves;Passeriformes
2894;4900;Cyanoderma pyrrhops;Black-chinned Babbler;Aves;Passeriformes
2895;4901;Cyanoderma ruficeps;Rufous-capped Babbler;Aves;Passeriformes
2896;4902;Cyanoderma rufifrons;Rufous-fronted Babbler;Aves;Passeriformes
2897;4904;Cyanolanius madagascarinus;Madagascar Blue Vanga;Aves;Passeriformes
2898;4905;Cyanoliseus patagonus;Burrowing Parrot;Aves;Psittaciformes
2899;4906;Cyanoloxia brissonii;Ultramarine Grosbeak;Aves;Passeriformes
2900;4907;Cyanoloxia glaucocaerulea;Glaucous-blue Grosbeak;Aves;Passeriformes
2901;4908;Cyanoloxia rothschildii;Amazonian Grosbeak;Aves;Passeriformes
2902;4909;Cyanolyca argentigula;Silvery-throated Jay;Aves;Passeriformes
2903;4910;Cyanolyca armillata;Black-collared Jay;Aves;Passeriformes
2904;4911;Cyanolyca cucullata;Azure-hooded Jay;Aves;Passeriformes
2905;4912;Cyanolyca mirabilis;White-throated Jay;Aves;Passeriformes
2906;4913;Cyanolyca nanus;Dwarf Jay;Aves;Passeriformes
